Count,avgPrec,pk10,mRR,nDCG10
0,0.252767,0.400000,1.000000,0.494357
1,0.034871,0.100000,0.200000,0.085143
2,0.136383,0.300000,0.500000,0.303082
3,0.664286,0.400000,1.000000,0.812268
4,0.000000,0.000000,0.000000,0.000000
5,0.208835,0.200000,1.000000,0.298490
6,0.254645,0.600000,1.000000,0.618040
7,0.500000,0.100000,0.500000,0.630930
8,0.525641,0.100000,1.000000,0.613147
9,0.105742,0.200000,0.500000,0.224006
10,0.005682,0.000000,0.022727,0.000000
11,0.146050,0.400000,0.333333,0.347629
12,0.207413,0.600000,1.000000,0.654722
13,0.183086,0.700000,0.500000,0.606242
14,0.137412,0.400000,0.333333,0.330874
15,0.037296,0.200000,0.500000,0.217261
16,0.305529,0.700000,1.000000,0.745302
17,0.140602,0.200000,0.333333,0.204834
18,0.400352,0.800000,1.000000,0.852171
19,0.195294,0.400000,1.000000,0.532621
20,0.450409,1.000000,1.000000,1.000000
21,0.251430,0.600000,1.000000,0.715551
22,0.247377,0.500000,1.000000,0.613653
23,0.142757,0.300000,1.000000,0.424926
24,0.027118,0.100000,0.500000,0.138862
25,0.253258,0.700000,1.000000,0.765593
26,0.182297,0.400000,0.500000,0.384594
27,0.337716,0.300000,1.000000,0.459731
28,0.268179,0.300000,1.000000,0.415281
29,0.315542,0.200000,1.000000,0.393259
30,0.285124,0.400000,1.000000,0.462710
31,0.516550,0.600000,1.000000,0.703407
32,0.117063,0.200000,0.500000,0.235732
33,0.031706,0.100000,0.111111,0.070756
34,0.219743,0.500000,1.000000,0.611019
35,0.072500,0.100000,0.500000,0.159589
36,0.442747,0.700000,1.000000,0.753814
37,0.437874,0.600000,1.000000,0.592683
38,0.400000,0.200000,1.000000,0.553146
39,0.403404,0.600000,1.000000,0.677273
40,0.082931,0.300000,0.333333,0.261808
41,0.575650,0.900000,1.000000,0.921602
42,0.426152,0.400000,1.000000,0.613443
43,0.559786,0.400000,1.000000,0.618798
44,0.385714,0.300000,1.000000,0.598282
45,0.447593,0.900000,1.000000,0.926636
46,0.302251,0.500000,0.500000,0.485716
47,0.558824,0.200000,1.000000,0.671386
48,0.510204,0.400000,1.000000,0.677368
49,0.000000,0.000000,0.000000,0.000000
50,0.405060,0.700000,1.000000,0.760079
51,0.250670,0.400000,1.000000,0.517461
52,0.049935,0.300000,0.166667,0.208273
53,0.351607,0.400000,1.000000,0.498290
54,0.172568,0.300000,0.500000,0.343697
55,0.290848,0.600000,1.000000,0.708441
56,0.087105,0.100000,0.200000,0.085143
57,0.036650,0.100000,0.250000,0.094788
58,0.000000,0.000000,0.000000,0.000000
59,0.103704,0.200000,0.111111,0.276919
60,0.170443,0.600000,1.000000,0.683084
61,0.442488,0.500000,1.000000,0.623574
62,0.329621,0.600000,1.000000,0.681681
63,0.012443,0.000000,0.055556,0.000000
64,0.416667,0.200000,1.000000,0.585570
65,0.010814,0.000000,0.040000,0.000000
66,0.035799,0.200000,0.200000,0.158507
67,0.120854,0.400000,1.000000,0.523174
68,0.428577,0.600000,1.000000,0.636474
69,0.101865,0.000000,0.058824,0.000000
70,0.280217,0.500000,1.000000,0.633220
71,0.463564,0.800000,1.000000,0.857205
72,0.455163,0.700000,1.000000,0.769526
73,0.120036,0.300000,1.000000,0.469000
74,0.562842,0.900000,1.000000,0.889954
75,0.286615,0.300000,1.000000,0.379950
76,0.260127,0.300000,1.000000,0.422575
77,0.062351,0.100000,0.200000,0.085143
78,0.014368,0.100000,0.250000,0.094788
79,0.000000,0.000000,0.000000,0.000000
80,0.295220,0.100000,1.000000,0.390380
81,0.170210,0.300000,1.000000,0.425208
82,0.108181,0.100000,0.250000,0.094788
83,0.246875,0.500000,1.000000,0.620397
84,0.000000,0.000000,0.000000,0.000000
85,0.037950,0.200000,0.250000,0.161043
86,0.228378,0.200000,1.000000,0.366502
87,0.073984,0.100000,0.500000,0.138862
88,0.040102,0.000000,0.050000,0.000000
89,0.124397,0.400000,1.000000,0.435475
90,0.198368,0.500000,1.000000,0.613653
91,0.060447,0.200000,0.250000,0.173187
92,0.115281,0.300000,0.166667,0.221193
